"shape_id","shape_pt_lat","shape_pt_lon","shape_pt_sequence","shape_dist_traveled"
"SMNW.OUTBOUND","-33.7384373","151.0348157","214","19138.19902210067"
"SMNW.OUTBOUND","-33.7381926","151.0341834","215","19202.77341586862"
"SMNW.OUTBOUND","-33.7380493","151.0339095","216","19232.72103275721"
"SMNW.OUTBOUND","-33.7377723","151.0334951","217","19281.90076398321"
"SMNW.OUTBOUND","-33.7374039","151.0329555","218","19346.47682715071"
"SMNW.OUTBOUND","-33.7368395","151.0320935","219","19447.964954623916"
"SMNW.OUTBOUND","-33.7359633","151.0306793","220","19611.12115507739"
"SMNW.OUTBOUND","-33.7355308","151.030052","221","19686.490963851033"
"SMNW.OUTBOUND","-33.7353166","151.0297884","222","19720.567197838158"
"SMNW.OUTBOUND","-33.7351505","151.0295713","223","19747.84697654338"
"SMNW.OUTBOUND","-33.7349686","151.0293452","224","19776.934574975352"
"SMNW.OUTBOUND","-33.7345518","151.0289025","225","19838.74347846474"
"SMNW.OUTBOUND","-33.73406","151.0283612","226","19912.851197629538"
"SMNW.OUTBOUND","-33.7337399","151.0280026","227","19961.48204757037"
"SMNW.OUTBOUND","-33.7334135","151.0276082","228","20012.927065940858"
"SMNW.OUTBOUND","-33.73301","151.0270832","229","20079.034231317855"
"SMNW.OUTBOUND","-33.7328198","151.0267527","230","20116.22511893401"
"SMNW.OUTBOUND","-33.7326375","151.0264128","231","20153.65617299733"
"SMNW.OUTBOUND","-33.732374","151.0256893","232","20226.798475998527"
"SMNW.OUTBOUND","-33.7322257","151.0252384","233","20271.705993056272"
"SMNW.OUTBOUND","-33.7321138","151.024776","234","20316.31957525822"
"SMNW.OUTBOUND","-33.7318691","151.0235441","235","20433.666530550465"
"SMNW.OUTBOUND","-33.7316844","151.022311","236","20549.764810977533"
"SMNW.OUTBOUND","-33.7311707","151.0191498","237","20848.216930836163"
"SMNW.OUTBOUND","-33.7310888","151.0186417","238","20896.17326002995"
"SMNW.OUTBOUND","-33.7309137","151.0177083","239","20984.829558910413"
"SMNW.OUTBOUND","-33.7306639","151.0163075","240","21117.57281714855"
"SMNW.OUTBOUND","-33.7305189","151.0153624","241","21206.624716874197"
"SMNW.OUTBOUND","-33.7304029","151.0144562","242","21291.587182503983"
"SMNW.OUTBOUND","-33.7303411","151.0136668","243","21365.065774021627"
"SMNW.OUTBOUND","-33.7303694","151.0127127","244","21453.54333075854"
"SMNW.OUTBOUND","-33.7304169","151.0122695","245","21494.953694714382"
"SMNW.OUTBOUND","-33.7304826","151.0120333","246","21518.02478566055"
"SMNW.OUTBOUND","-33.7308229","151.0106091","247","21655.3040524077"
"SMNW.OUTBOUND","-33.7315021","151.0079551","248","21912.541657712474"
"SMNW.OUTBOUND","-33.7318504","151.0065998","249","22043.950147644475"
"SMNW.OUTBOUND","-33.7321558","151.0052797","250","22170.892057654495"
"SMNW.OUTBOUND","-33.7322276","151.0048029","251","22215.790814239437"
"SMNW.OUTBOUND","-33.7322722","151.0043925","252","22254.144443541478"
"SMNW.OUTBOUND","-33.7322851","151.0040516","253","22285.769260008175"
"SMNW.OUTBOUND","-33.7322873","151.0031042","254","22373.56856335344"
"SMNW.OUTBOUND","-33.7322688","151.0027094","255","22410.21359854495"
"SMNW.OUTBOUND","-33.7322127","151.002242","256","22453.973919733035"
"SMNW.OUTBOUND","-33.7320937","151.0016204","257","22513.072729750795"
"SMNW.OUTBOUND","-33.7318392","151.0006738","258","22605.227769088633"
"SMNW.OUTBOUND","-33.7314502","150.9996437","259","22709.989359006755"
"SMNW.OUTBOUND","-33.7312847","150.9993317","260","22744.23874786439"
"SMNW.OUTBOUND","-33.7311725","150.9991394","261","22765.975290479546"
"SMNW.OUTBOUND","-33.7310667","150.9989508","262","22787.027823440654"
"SMNW.OUTBOUND","-33.7307204","150.9983599","263","22853.91751052972"
"SMNW.OUTBOUND","-33.7304754","150.9979324","264","22901.960344126564"
"SMNW.OUTBOUND","-33.7302122","150.9974791","265","22953.11785225523"
"SMNW.OUTBOUND","-33.7296887","150.9965825","266","23054.488923355828"
"SMNW.OUTBOUND","-33.728619","150.9947172","267","23264.159162908236"
"SMNW.OUTBOUND","-33.7280963","150.9938212","268","23365.435085004476"
"SMNW.OUTBOUND","-33.7276417","150.9929423","269","23461.233853634556"
"SMNW.OUTBOUND","-33.7275002","150.9926255","270","23494.526080012303"
"SMNW.OUTBOUND","-33.727363","150.9922387","271","23533.470588407497"
"SMNW.OUTBOUND","-33.7272671","150.9919235","272","23564.559330193315"
"SMNW.OUTBOUND","-33.7271994","150.9915066","273","23603.92013601934"
"SMNW.OUTBOUND","-33.7271616","150.9912604","274","23627.119726537087"
"SMNW.OUTBOUND","-33.7271311","150.9909674","275","23654.484624399876"
"SMNW.OUTBOUND","-33.727117","150.9903163","276","23714.848278393132"
"SMNW.OUTBOUND","-33.7271634","150.9899414","277","23749.972776069808"
"SMNW.OUTBOUND","-33.7271929","150.9897852","278","23764.814429942635"
"SMNW.OUTBOUND","-33.7272276","150.9896132","279","23781.213287997893"
"SMNW.OUTBOUND","-33.7272995","150.9892916","280","23812.067327693436"
"SMNW.OUTBOUND","-33.7273847","150.9889457","281","23845.488842398863"
"SMNW.OUTBOUND","-33.7275003","150.9885747","282","23882.185618382355"
"SMNW.OUTBOUND","-33.7279102","150.9872827","283","24010.267215791755"
"SMNW.OUTBOUND","-33.7280296","150.9869058","284","24047.62395904848"
"SMNW.OUTBOUND","-33.7281203","150.9866042","285","24077.330973151355"
"SMNW.OUTBOUND","-33.7284294","150.9856324","286","24173.700200115178"
"SMNW.OUTBOUND","-33.7285829","150.9850927","287","24226.536670761878"
"SMNW.OUTBOUND","-33.7287298","150.9844932","288","24284.436745071976"
"SMNW.OUTBOUND","-33.7288138","150.9840171","289","24329.533401933273"
"SMNW.OUTBOUND","-33.7290768","150.9820859","290","24510.873289659048"
"SMNW.OUTBOUND","-33.7291328","150.9816598","291","24550.8484790967"
"SMNW.OUTBOUND","-33.7295168","150.9789077","292","24809.436081532414"
"SMNW.OUTBOUND","-33.7296859","150.9777051","293","24922.456016591503"
"SMNW.OUTBOUND","-33.729768","150.9770921","294","24979.991827409678"
"SMNW.OUTBOUND","-33.7298923","150.9762114","295","25062.76803564585"
"SMNW.OUTBOUND","-33.730108","150.9747561","296","25199.74508444774"
"SMNW.OUTBOUND","-33.7302098","150.9740097","297","25269.833872784628"
"SMNW.OUTBOUND","-33.7302757","150.9735122","298","25316.515888136124"
"SMNW.OUTBOUND","-33.730336","150.9731273","299","25352.80839204806"
"SMNW.OUTBOUND","-33.7303956","150.9726808","300","25394.712798013872"
"SMNW.OUTBOUND","-33.7305222","150.971809","301","25476.718541788377"
"SMNW.OUTBOUND","-33.7306376","150.9709514","302","25557.221093107368"
